제조사,모델명,세부트림,1회충전주행거리,복합전비,가격
기아,EV5,에어 2WD (A/T),460,5.0,4575
기아,EV5,에어 4WD (A/T),420,4.7,4800
기아,EV5,어스 2WD (A/T),460,5.0,4950
기아,EV5,어스 4WD (A/T),420,4.7,5175
기아,EV5,GT-Line 2WD (A/T),460,5.0,5060
기아,EV5,GT-Line 4WD (A/T),406,4.5,5286
기아,EV3,에어 2WD (A/T),501,5.4,4415
기아,EV3,에어 4WD (A/T),450,4.8,4677
기아,EV3,어스 2WD (A/T),501,5.4,4810
기아,EV3,어스 4WD (A/T),450,4.8,5072
기아,EV3,GT-Line 2WD (A/T),478,5.1,4895
기아,EV3,GT-Line 4WD (A/T),450,4.8,5110
현대,아이오닉 9,익스클루시브 2WD (A/T),532,4.3,6817
현대,아이오닉 9,익스클루시브 4WD (항속형) (A/T),503,4.1,7083
현대,아이오닉 9,익스클루시브 4WD (성능형) (A/T),501,4.1,7168
현대,아이오닉 9,프레스티지 2WD (A/T),532,4.3,7374
현대,아이오닉 9,프레스티지 4WD (항속형) (A/T),503,4.1,7640
현대,아이오닉 9,프레스티지 4WD (성능형) (A/T),501,4.1,7725
현대,아이오닉 9,캘리그래피 2WD (A/T),511,4.2,7960
현대,아이오닉 9,캘리그래피 4WD (항속형) (A/T),503,4.1,8226
현대,아이오닉 9,캘리그래피 4WD (성능형) (A/T),501,4.1,8311
현대,아이오닉 9,블랙잉크 2WD (A/T),511,4.2,7997
현대,아이오닉 9,블랙잉크 4WD (항속형) (A/T),503,4.1,8263
현대,아이오닉 9,블랙잉크 4WD (성능형) (A/T),501,4.1,8349
현대,아이오닉 5,모던 2WD (A/T),485,5.2,5290
현대,아이오닉 5,모던 4WD (A/T),451,4.8,5525
현대,아이오닉 5,프리미엄 2WD (A/T),485,5.2,5825
현대,아이오닉 5,프리미엄 4WD (A/T),451,4.8,6059
현대,아이오닉 5,N Line 2WD (A/T),441,4.7,5945
현대,아이오닉 5,N Line 4WD (A/T),411,4.4,6180
현대,아이오닉 5,인스퍼레이션 2WD (A/T),485,5.2,6150
현대,아이오닉 5,인스퍼레이션 4WD (A/T),451,4.8,6384
현대,아이오닉 5,이-라이트 2WD (A/T),485,5.2,5064
현대,아이오닉 5,이-라이트 4WD (A/T),451,4.8,5298
기아,EV4,에어 2WD (A/T),533,5.8,4462
기아,EV4,에어 4WD (A/T),475,5.1,4724
기아,EV4,어스 2WD (A/T),533,5.8,4921
기아,EV4,어스 4WD (A/T),475,5.1,5183
기아,EV4,GT-Line 2WD (A/T),495,5.4,5031
기아,EV4,GT-Line 4WD (A/T),475,5.1,5246
기아,레이 EV,라이트 (A/T),205,5.1,2835
기아,레이 EV,에어 (A/T),205,5.1,3035
현대,더 뉴 아이오닉 6,이-라이트 2WD (A/T),562,6.0,5064
현대,더 뉴 아이오닉 6,이-라이트 AWD (A/T),533,5.7,5298
현대,더 뉴 아이오닉 6,익스클루시브 2WD (A/T),562,6.0,5515
현대,더 뉴 아이오닉 6,익스클루시브 AWD (A/T),533,5.7,5749
현대,더 뉴 아이오닉 6,N라인 (익스클루시브) 2WD (A/T),470,5.1,5745
현대,더 뉴 아이오닉 6,N라인 (익스클루시브) AWD (A/T),428,4.6,5980
현대,더 뉴 아이오닉 6,프레스티지 2WD (A/T),562,6.0,5973
현대,더 뉴 아이오닉 6,프레스티지 AWD (A/T),533,5.7,6207
현대,더 뉴 아이오닉 6,N 라인 (프레스티지) 2WD (A/T),470,5.1,6132
현대,더 뉴 아이오닉 6,N 라인 (프레스티지) AWD (A/T),428,4.6,6367
기아,EV6,라이트 2WD (A/T),494,5.2,4761
기아,EV6,라이트 4WD (A/T),461,4.9,4995
기아,EV6,에어 2WD (A/T),494,5.2,5239
기아,EV6,에어 4WD (A/T),461,4.9,5475
기아,EV6,어스 2WD (A/T),494,5.2,5640
기아,EV6,어스 4WD (A/T),461,4.9,5875
기아,EV6,GT-Line 2WD (A/T),494,5.2,5700
기아,EV6,GT-Line 4WD (A/T),461,4.9,5934
현대,캐스퍼 일렉트릭,프리미엄 (A/T),278,5.8,2787
현대,캐스퍼 일렉트릭,인스퍼레이션 (A/T),315,5.6,3137
현대,캐스퍼 일렉트릭,크로스 (A/T),285,5.1,3337
현대,캐스퍼 일렉트릭,라운지 (A/T),295,5.2,3457
기아,EV9,라이트 스탠다드 (7인승) (A/T),374,4.2,6197
기아,EV9,라이트 스탠다드 (6인승) (A/T),374,4.2,6244
기아,EV9,라이트 롱레인지 (7인승) (A/T),501,4.2,6642
기아,EV9,라이트 롱레인지 (6인승) (A/T),501,4.2,6689
기아,EV9,에어 스탠다드 (7인승) (A/T),374,4.2,6412
기아,EV9,에어 스탠다드 (6인승) (A/T),374,4.2,6459
기아,EV9,에어 롱레인지 (7인승) (A/T),501,4.2,6857
기아,EV9,에어 롱레인지 (6인승) (A/T),501,4.2,6904
기아,EV9,어스 스탠다드 (7인승) (A/T),374,4.2,6891
기아,EV9,어스 스탠다드 (6인승) (A/T),374,4.2,6937
기아,EV9,어스 롱레인지 (7인승) (A/T),501,4.2,7336
기아,EV9,어스 롱레인지 (6인승) (A/T),501,4.2,7383
현대,코나 일렉트릭,모던 플러스 (A/T),417,5.5,4566
현대,코나 일렉트릭,프리미엄 (A/T),417,5.5,4657
현대,코나 일렉트릭,인스퍼레이션 (A/T),368,4.8,4992
현대,코나 일렉트릭,블랙 익스테리어 (A/T),368,4.8,5025
현대,코나 일렉트릭,N 라인 (A/T),364,4.7,5086
현대,아이오닉 6 N,AWD (A/T),387,4.2,7990
현대,아이오닉 5 N,AWD 에센셜 (A/T),351,3.7,7769
현대,아이오닉 5 N,AWD (A/T),351,3.7,8029
